Iterations,Score_RHC,Time_RHC,Score_SA,Time_SA,Score_GA,Time_GA,Score_MIMIC,Time_MIMIC

10,73,9.904726666666666E-4,69,2.0068833333333332E-4,76,0.007622398666666666,84,0.10729635

100,76,1.2184566666666666E-4,69,1.1179466666666666E-4,78,0.015691179333333333,91,0.36568589333333335

1000,86,2.889733333333333E-4,95,5.059363333333334E-4,84,0.06168806866666667,102,1.8619349219999999

2500,82,5.90273E-4,98,0.0016559009999999998,88,0.11839868233333334,101,4.623657197

5000,78,0.001455443,94,0.002865236,95,0.242424619,104,9.224797818333334

8000,90,0.001600621,108,0.004848171,99,0.39447829133333334,108,14.798973378

10000,75,0.0019021243333333336,108,0.005845342999999999,107,0.47681676799999995,107,19.322444898666667

15000,81,0.0033173446666666666,101,0.009466538333333333,101,0.6686215820000001,106,30.711034014333332

30000,91,0.007534631333333333,98,0.02401092,105,1.3589656786666666,108,58.757145301

50000,89,0.010944503666666666,105,0.035456361666666665,109,2.2728745519999998,106,96.11657527933333

Iterations,Score_RHC,Time_RHC,Score_SA,Time_SA,Score_GA,Time_GA,Score_MIMIC,Time_MIMIC
10,54,0.0016429123333333332,70,2.9281366666666664E-4,76,0.010440703333333334,88,0.09634674466666666
100,74,1.06666E-4,70,1.0944599999999998E-4,77,0.017945754666666668,88,0.2873664873333333
1000,77,3.6449433333333336E-4,100,5.565723333333332E-4,90,0.12295001966666667,100,1.9609387073333335
2500,93,5.997016666666667E-4,110,0.001373448,97,0.21426799600000002,102,4.5619484859999995
5000,84,0.001033962,110,0.002166425333333333,106,0.3612596986666667,108,9.450087183666666
8000,95,0.001990849333333333,111,0.004529164999999999,110,0.6645812950000001,111,15.319552195999998
10000,98,0.0022355260000000003,109,0.005883587666666666,106,0.7820262003333333,109,19.117187610333335
15000,80,0.003270785,112,0.009646608000000001,110,1.1018301253333334,108,28.07740713033333
30000,76,0.0060025109999999994,104,0.020437665999999997,109,2.093753234333333,108,54.713175519
50000,75,0.009566101333333332,110,0.03652360833333333,109,3.5442294030000006,108,97.08169418966666
